SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
1853,1,1,उर्मिला राई,महिला,46,नेकपा (एमाले),पाँचथर,मिक्लाजुङ गाउँपालिका,,उपाध्यक्ष,3506,E,1
1854,2,1,जुनु कुमारी लावति,महिला,37,नेकपा (माओवादी केन्द्र),पाँचथर,मिक्लाजुङ गाउँपालिका,,उपाध्यक्ष,3114,,2
1855,3,1,सबिना बराल,महिला,37,राष्ट्रिय प्रजातन्त्र पार्टी ,पाँचथर,मिक्लाजुङ गाउँपालिका,,उपाध्यक्ष,153,,5
1856,40,1,शुशिला मादेन,महिला,33,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,पाँचथर,मिक्लाजुङ गाउँपालिका,,उपाध्यक्ष,244,,4
1857,0,1,सुन माया राई,महिला,49,नेपाली काँग्रेस,पाँचथर,मिक्लाजुङ गाउँपालिका,,उपाध्यक्ष,2650,,3
