SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
23915,1,4,बिमला पुलामी मगर,महिला,33,नेकपा (एमाले),गोरखा,गण्डकी गाउँपालिका,,उपाध्यक्ष,958,,3
23916,67,4,दुर्गा गुरुङ,महिला,30,"नयाँ शक्ति पार्टी, नेपाल",गोरखा,गण्डकी गाउँपालिका,,उपाध्यक्ष,738,,4
23917,2,4,पुर्ण थापा,महिला,34,नेकपा (माओवादी केन्द्र),गोरखा,गण्डकी गाउँपालिका,,उपाध्यक्ष,3928,,2
23918,0,4,ललिता अधिकारी,महिला,39,नेपाली काँग्रेस,गोरखा,गण्डकी गाउँपालिका,,उपाध्यक्ष,4100,E,1
