SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
48746,1,7,इन्द्र बहादुर भण्डारी,पुरुष,65,नेकपा (एमाले),बझाङ्ग,केदारस्युँ गाउँपालिका,,अध्यक्ष,2815,E,1
48747,0,7,रमेश बहादुर भण्डारी,पुरुष,48,नेपाली काँग्रेस,बझाङ्ग,केदारस्युँ गाउँपालिका,,अध्यक्ष,2362,,2
48748,4,7,पिरु गिरी,पुरुष,63,"संघीय समाजवादी फोरम, नेपाल ",बझाङ्ग,केदारस्युँ गाउँपालिका,,अध्यक्ष,14,,5
48749,84,7,रविन्द्र कुमार मल्ल,पुरुष,31,स्वतन्त्र,बझाङ्ग,केदारस्युँ गाउँपालिका,,अध्यक्ष,15,,4
48750,2,7,प्रेम बहादुर बोहरा,पुरुष,37,नेकपा (माओवादी केन्द्र),बझाङ्ग,केदारस्युँ गाउँपालिका,,अध्यक्ष,1567,,3
