SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
54782,84,7,नन्दा देवी कुवर,महिला,69,स्वतन्त्र,दार्चुला,दुहुँ गाउँपालिका,1,महिला सदस्य,13,,4
54783,1,7,गोबिन्दी महर,महिला,32,नेकपा (एमाले),दार्चुला,दुहुँ गाउँपालिका,1,महिला सदस्य,131,,3
54784,2,7,आशा  कुमारी  ब‌म ,महिला,23,नेकपा (माओवादी केन्द्र),दार्चुला,दुहुँ गाउँपालिका,1,महिला सदस्य,304,,2
54785,0,7,अरुणा बंम,महिला,22,नेपाली काँग्रेस,दार्चुला,दुहुँ गाउँपालिका,1,महिला सदस्य,355,E,1
54786,1,7,पार्वती देवी धामी,महिला,49,नेकपा (एमाले),दार्चुला,दुहुँ गाउँपालिका,2,महिला सदस्य,571,,2
54787,0,7,जानकी बडाल,महिला,35,नेपाली काँग्रेस,दार्चुला,दुहुँ गाउँपालिका,2,महिला सदस्य,653,E,1
54788,2,7,पाना देवी जोशी,महिला,30,नेकपा (माओवादी केन्द्र),दार्चुला,दुहुँ गाउँपालिका,2,महिला सदस्य,103,,3
54789,0,7,जानकी देवी जोशी,महिला,35,नेपाली काँग्रेस,दार्चुला,दुहुँ गाउँपालिका,3,महिला सदस्य,453,E,1
54790,1,7,पुनम देवी कार्की,महिला,44,नेकपा (एमाले),दार्चुला,दुहुँ गाउँपालिका,3,महिला सदस्य,385,,2
54791,2,7,उर्मिला कार्की,महिला,36,नेकपा (माओवादी केन्द्र),दार्चुला,दुहुँ गाउँपालिका,4,महिला सदस्य,127,,3
54792,1,7,परुली देवी कुवँर,महिला,47,नेकपा (एमाले),दार्चुला,दुहुँ गाउँपालिका,4,महिला सदस्य,323,,2
54793,0,7,सकुन्तला कुँवर,महिला,47,नेपाली काँग्रेस,दार्चुला,दुहुँ गाउँपालिका,4,महिला सदस्य,418,E,1
54794,2,7,धान देवी महर,महिला,33,नेकपा (माओवादी केन्द्र),दार्चुला,दुहुँ गाउँपालिका,5,महिला सदस्य,263,,2
54795,1,7,कलावती जोशी,महिला,31,नेकपा (एमाले),दार्चुला,दुहुँ गाउँपालिका,5,महिला सदस्य,154,,3
54796,0,7,नन्दा देवी कुवँर,महिला,36,नेपाली काँग्रेस,दार्चुला,दुहुँ गाउँपालिका,5,महिला सदस्य,279,E,1
