SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
54759,0,7,श्रीमती इश्‍वरी जोशी,महिला,35,नेपाली काँग्रेस,दार्चुला,दुहुँ गाउँपालिका,,उपाध्यक्ष,2209,E,1
54760,1,7,राजेश्‍वरी देवी बंम,महिला,28,नेकपा (एमाले),दार्चुला,दुहुँ गाउँपालिका,,उपाध्यक्ष,1675,,2
54761,2,7,भगवती देवी बडाल,महिला,38,नेकपा (माओवादी केन्द्र),दार्चुला,दुहुँ गाउँपालिका,,उपाध्यक्ष,708,,3
54762,3,7,चन्द्रा देवी बडाल,महिला,47,राष्ट्रिय प्रजातन्त्र पार्टी ,दार्चुला,दुहुँ गाउँपालिका,,उपाध्यक्ष,11,,4
