SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
41760,1,6,दल फडेरा,पुरुष,42,नेकपा (एमाले),हुम्ला,अदानचुली गाउँपालिका,,अध्यक्ष,1185,E,1
41761,0,6,लोकेन्द्र भण्डारी,पुरुष,36,नेपाली काँग्रेस,हुम्ला,अदानचुली गाउँपालिका,,अध्यक्ष,784,,3
41762,2,6,दलु फडेरा,पुरुष,41,नेकपा (माओवादी केन्द्र),हुम्ला,अदानचुली गाउँपालिका,,अध्यक्ष,987,,2
41763,4,6,लाल बहादुर ठकुला,पुरुष,48,"संघीय समाजवादी फोरम, नेपाल ",हुम्ला,अदानचुली गाउँपालिका,,अध्यक्ष,10,,4
