SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
33025,1,4,आस बहादुर थकाली,पुरुष,62,नेकपा (एमाले),मुस्तांग,घरपझोङ गाउँपालिका,,अध्यक्ष,454,E,1
33026,0,4,बीजय हीराचन,पुरुष,55,नेपाली काँग्रेस,मुस्तांग,घरपझोङ गाउँपालिका,,अध्यक्ष,417,,2
33027,84,4,महेन्द्र बहादुर थकाली,पुरुष,60,स्वतन्त्र,मुस्तांग,घरपझोङ गाउँपालिका,,अध्यक्ष,236,,3
33028,2,4,दिनेश लाल थकाली,पुरुष,44,नेकपा (माओवादी केन्द्र),मुस्तांग,घरपझोङ गाउँपालिका,,अध्यक्ष,55,,4
