SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
47768,2,5,राधा रोका,महिला,38,नेकपा (माओवादी केन्द्र),रुकुम पश्चिम,चौरजहारी नगरपालिका,,उपप्रमुख,5325,E,1
47769,0,5,मनीसा रोकाय,महिला,40,नेपाली काँग्रेस,रुकुम पश्चिम,चौरजहारी नगरपालिका,,उपप्रमुख,3048,,2
47770,3,5,शोभा पोखरेल,महिला,41,राष्ट्रिय प्रजातन्त्र पार्टी ,रुकुम पश्चिम,चौरजहारी नगरपालिका,,उपप्रमुख,33,,5
47771,67,5,सम्झना खत्री,महिला,44,"नयाँ शक्ति पार्टी, नेपाल",रुकुम पश्चिम,चौरजहारी नगरपालिका,,उपप्रमुख,34,,4
47772,1,5,कल्याणी खड्का,महिला,40,नेकपा (एमाले),रुकुम पश्चिम,चौरजहारी नगरपालिका,,उपप्रमुख,2413,,3
