SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
3579,4,1,ख्‍याम कुमारी राई,महिला,39,"संघीय समाजवादी फोरम, नेपाल ",इलाम,सूर्योदय नगरपालिका,,उपप्रमुख,1794,,3
3580,2,1,टिका राई(वाला),महिला,28,नेकपा (माओवादी केन्द्र),इलाम,सूर्योदय नगरपालिका,,उपप्रमुख,1650,,4
3581,0,1,खगेश्‍वरी पौडेल,महिला,45,नेपाली काँग्रेस,इलाम,सूर्योदय नगरपालिका,,उपप्रमुख,9927,,2
3582,84,1,रेनुका योल्मो,महिला,38,स्वतन्त्र,इलाम,सूर्योदय नगरपालिका,,उपप्रमुख,172,,6
3583,1,1,दुर्गा देवी भट्टराई,महिला,42,नेकपा (एमाले),इलाम,सूर्योदय नगरपालिका,,उपप्रमुख,12890,E,1
3584,3,1,भक्त कुमारी गदाल,महिला,78,राष्ट्रिय प्रजातन्त्र पार्टी ,इलाम,सूर्योदय नगरपालिका,,उपप्रमुख,660,,5
