SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
55715,2,7,शुसिला बोहरा,महिला,26,नेकपा (माओवादी केन्द्र),बैतडी,डीलासैनी गाउँपालिका,,उपाध्यक्ष,2126,,3
55716,67,7,मानमती दमाई,महिला,34,"नयाँ शक्ति पार्टी, नेपाल",बैतडी,डीलासैनी गाउँपालिका,,उपाध्यक्ष,75,,5
55717,3,7,गिता क्षेत्री,महिला,39,राष्ट्रिय प्रजातन्त्र पार्टी ,बैतडी,डीलासैनी गाउँपालिका,,उपाध्यक्ष,231,,4
55718,0,7,जानकी कार्की,महिला,34,नेपाली काँग्रेस,बैतडी,डीलासैनी गाउँपालिका,,उपाध्यक्ष,2208,,2
55719,1,7,पार्वती कुमारी भण्डारी,महिला,29,नेकपा (एमाले),बैतडी,डीलासैनी गाउँपालिका,,उपाध्यक्ष,2696,E,1
