SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
56741,0,7,कृष्ण सिंह नायेक,पुरुष,64,नेपाली काँग्रेस,बैतडी,मेलौली नगरपालिका,,प्रमुख,2344,E,1
56742,2,7,भीम बहादुर चन्द,पुरुष,40,नेकपा (माओवादी केन्द्र),बैतडी,मेलौली नगरपालिका,,प्रमुख,2068,,2
56743,67,7,भुवन देव भट्ट,पुरुष,45,"नयाँ शक्ति पार्टी, नेपाल",बैतडी,मेलौली नगरपालिका,,प्रमुख,154,,5
56744,3,7,सुरेन्द्र वहादुर चन्द,पुरुष,42,राष्ट्रिय प्रजातन्त्र पार्टी ,बैतडी,मेलौली नगरपालिका,,प्रमुख,638,,4
56745,1,7,जगदीश सिंह नायक,पुरुष,38,नेकपा (एमाले),बैतडी,मेलौली नगरपालिका,,प्रमुख,1964,,3
