SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
46338,1,7,हरी वहादुर रोकाया,पुरुष,36,नेकपा (एमाले),बाजुरा,गौमुल गाउँपालिका,,अध्यक्ष,2240,E,1
46339,0,7,देव बहादुर रोकाया,पुरुष,58,नेपाली काँग्रेस,बाजुरा,गौमुल गाउँपालिका,,अध्यक्ष,1491,,2
46340,2,7,गणेश बहादुर रोकाया,पुरुष,51,नेकपा (माओवादी केन्द्र),बाजुरा,गौमुल गाउँपालिका,,अध्यक्ष,39,,3
46341,67,7,मदन बहादुर वुढा,पुरुष,36,"नयाँ शक्ति पार्टी, नेपाल",बाजुरा,गौमुल गाउँपालिका,,अध्यक्ष,26,,4
