SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
7694,0,1,शोभा घिमिरे,महिला,44,नेपाली काँग्रेस,संखुवासभा,धर्मदेवी नगरपालिका,,उपप्रमुख,3510,E,1
7695,3,1,राधा देवी कार्की,महिला,44,राष्ट्रिय प्रजातन्त्र पार्टी ,संखुवासभा,धर्मदेवी नगरपालिका,,उपप्रमुख,73,,4
7696,2,1,छिरिङ्ग शेर्पा,पुरुष,34,नेकपा (माओवादी केन्द्र),संखुवासभा,धर्मदेवी नगरपालिका,,उपप्रमुख,670,,3
7697,1,1,सोम कुमारी राय (वुढाथोकी),महिला,37,नेकपा (एमाले),संखुवासभा,धर्मदेवी नगरपालिका,,उपप्रमुख,3108,,2
