SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
16163,1,3,प्रेम कुमार तामाङ,पुरुष,50,नेकपा (एमाले),काभ्रेपलाञ्चोक,बेथानचोक गाउँपालिका,,अध्यक्ष,2741,,2
16164,0,3,प्रेम वहादुर तिमल्सिना,पुरुष,65,नेपाली काँग्रेस,काभ्रेपलाञ्चोक,बेथानचोक गाउँपालिका,,अध्यक्ष,3868,E,1
16165,2,3,मर्दन सिं तमाङ,पुरुष,43,नेकपा (माओवादी केन्द्र),काभ्रेपलाञ्चोक,बेथानचोक गाउँपालिका,,अध्यक्ष,1749,,3
16166,5,3,तुलसी बहादुर थापा,पुरुष,62,"मधेशी जनअधिकार फोरम, नेपाल (लोकतान्त्रिक)",काभ्रेपलाञ्चोक,बेथानचोक गाउँपालिका,,अध्यक्ष,236,,4
16167,4,3,बासुदेव तामाङ,पुरुष,52,"संघीय समाजवादी फोरम, नेपाल ",काभ्रेपलाञ्चोक,बेथानचोक गाउँपालिका,,अध्यक्ष,126,,5
