SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
47229,0,7,गोबिन्द बहादुर मल्ल,पुरुष,56,नेपाली काँग्रेस,बाजुरा,हिमाली गाउँपालिका,,अध्यक्ष,1776,E,1
47230,67,7,छिङतेवा थापा,पुरुष,46,"नयाँ शक्ति पार्टी, नेपाल",बाजुरा,हिमाली गाउँपालिका,,अध्यक्ष,2,,4
47231,2,7,मान बहादुर रोकाया,पुरुष,34,नेकपा (माओवादी केन्द्र),बाजुरा,हिमाली गाउँपालिका,,अध्यक्ष,396,,3
47232,1,7,अज बहादुर मल्ल,पुरुष,60,नेकपा (एमाले),बाजुरा,हिमाली गाउँपालिका,,अध्यक्ष,1476,,2
