SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
30085,2,4,लोकेन्द्र तराङ,पुरुष,43,नेकपा (माओवादी केन्द्र),स्याङ्जा,गल्याङ नगरपालिका,,प्रमुख,1381,,3
30086,0,4,लालगोपाल अर्याल,पुरुष,72,नेपाली काँग्रेस,स्याङ्जा,गल्याङ नगरपालिका,,प्रमुख,6062,,2
30087,1,4,भुपराज अधिकारी,पुरुष,49,नेकपा (एमाले),स्याङ्जा,गल्याङ नगरपालिका,,प्रमुख,8368,E,1
30088,9,4,विष्णु प्रसाद गैहे,पुरुष,54,राष्ट्रिय जनमोर्चा ,स्याङ्जा,गल्याङ नगरपालिका,,प्रमुख,39,,4
30089,3,4,लेमकला भट्टराई,महिला,47,राष्ट्रिय प्रजातन्त्र पार्टी ,स्याङ्जा,गल्याङ नगरपालिका,,प्रमुख,36,,5
