SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
7225,2,3,ठुली माया मिजार,महिला,45,नेकपा (माओवादी केन्द्र),नुवाकोट,पञ्चकन्या गाउँपालिका,1,दलित महिला सदस्य,356,E,1
7226,1,3,चित्र कुमारी बिश्‍वकर्मा,महिला,66,नेकपा (एमाले),नुवाकोट,पञ्चकन्या गाउँपालिका,1,दलित महिला सदस्य,206,,3
7227,0,3,कमला मिजार,महिला,22,नेपाली काँग्रेस,नुवाकोट,पञ्चकन्या गाउँपालिका,1,दलित महिला सदस्य,255,,2
7228,1,3,नन्‍द कुमारी नेपाली,महिला,39,नेकपा (एमाले),नुवाकोट,पञ्चकन्या गाउँपालिका,2,दलित महिला सदस्य,824,,2
7229,0,3,सिता परियार,महिला,34,नेपाली काँग्रेस,नुवाकोट,पञ्चकन्या गाउँपालिका,2,दलित महिला सदस्य,891,E,1
7230,2,3,कृष्‍ण माया सुनार,महिला,29,नेकपा (माओवादी केन्द्र),नुवाकोट,पञ्चकन्या गाउँपालिका,2,दलित महिला सदस्य,317,,3
7231,1,3,ज्ञानी परियार,महिला,68,नेकपा (एमाले),नुवाकोट,पञ्चकन्या गाउँपालिका,3,दलित महिला सदस्य,265,,3
7232,3,3,विमला वि क,महिला,28,राष्ट्रिय प्रजातन्त्र पार्टी ,नुवाकोट,पञ्चकन्या गाउँपालिका,3,दलित महिला सदस्य,109,,4
7233,0,3,धन माया विश्‍वकर्मा,महिला,51,नेपाली काँग्रेस,नुवाकोट,पञ्चकन्या गाउँपालिका,3,दलित महिला सदस्य,341,,2
7234,2,3,राधा कुमारी सुनार,महिला,56,नेकपा (माओवादी केन्द्र),नुवाकोट,पञ्चकन्या गाउँपालिका,3,दलित महिला सदस्य,514,E,1
7235,67,3,अनीता दमाई,महिला,34,"नयाँ शक्ति पार्टी, नेपाल",नुवाकोट,पञ्चकन्या गाउँपालिका,4,दलित महिला सदस्य,25,,4
7236,1,3,मायाँ दमाई,महिला,37,नेकपा (एमाले),नुवाकोट,पञ्चकन्या गाउँपालिका,4,दलित महिला सदस्य,366,,3
7237,0,3,संगीता बि.क,महिला,31,नेपाली काँग्रेस,नुवाकोट,पञ्चकन्या गाउँपालिका,4,दलित महिला सदस्य,603,,2
7238,2,3,जानुका सुनार,महिला,31,नेकपा (माओवादी केन्द्र),नुवाकोट,पञ्चकन्या गाउँपालिका,4,दलित महिला सदस्य,788,E,1
7239,0,3,कान्छी सुनुवार,महिला,23,नेपाली काँग्रेस,नुवाकोट,पञ्चकन्या गाउँपालिका,5,दलित महिला सदस्य,694,E,1
7240,1,3,विन्दा वि.क,महिला,40,नेकपा (एमाले),नुवाकोट,पञ्चकन्या गाउँपालिका,5,दलित महिला सदस्य,441,,3
7241,2,3,कमला नेपाली,महिला,28,नेकपा (माओवादी केन्द्र),नुवाकोट,पञ्चकन्या गाउँपालिका,5,दलित महिला सदस्य,476,,2
