SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
37396,1,5,बाला राम बुढा,पुरुष,41,नेकपा (एमाले),रोल्पा,रुन्टीगढी गाउँपालिका,,अध्यक्ष,3402,E,1
37397,0,5,टेक बहादुर बस्नेत,पुरुष,51,नेपाली काँग्रेस,रोल्पा,रुन्टीगढी गाउँपालिका,,अध्यक्ष,3279,,2
37398,3,5,बालाराम घर्ती क्षेत्री,पुरुष,51,राष्ट्रिय प्रजातन्त्र पार्टी ,रोल्पा,रुन्टीगढी गाउँपालिका,,अध्यक्ष,77,,5
37399,9,5,भिके पुन मगर,पुरुष,51,राष्ट्रिय जनमोर्चा ,रोल्पा,रुन्टीगढी गाउँपालिका,,अध्यक्ष,126,,4
37400,2,5,गोविन्द पुनमगर,पुरुष,39,नेकपा (माओवादी केन्द्र),रोल्पा,रुन्टीगढी गाउँपालिका,,अध्यक्ष,3108,,3
