SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
42081,84,6,पेमा तामाङ,पुरुष,46,स्वतन्त्र,हुम्ला,नाम्खा गाउँपालिका,,उपाध्यक्ष,704,E,1
42082,2,6,फुल देबि तामाङ,महिला,30,नेकपा (माओवादी केन्द्र),हुम्ला,नाम्खा गाउँपालिका,,उपाध्यक्ष,700,,2
42083,0,6,लामू लामा,महिला,31,नेपाली काँग्रेस,हुम्ला,नाम्खा गाउँपालिका,,उपाध्यक्ष,182,,3
42084,1,6,छिचु लामु तामाङ,महिला,33,नेकपा (एमाले),हुम्ला,नाम्खा गाउँपालिका,,उपाध्यक्ष,175,,4
