SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
21995,0,1,विमला राई,महिला,36,नेपाली काँग्रेस,खोटाङ्ग,हलेसी तुवाचुङ नगरपालिका,,उपप्रमुख,4486,E,1
21996,1,1,मनिषा राई,महिला,33,नेकपा (एमाले),खोटाङ्ग,हलेसी तुवाचुङ नगरपालिका,,उपप्रमुख,3922,,2
21997,20,1,कविता राई,महिला,34,"खम्वुवान राष्ट्रिय मोर्चा, नेपाल ",खोटाङ्ग,हलेसी तुवाचुङ नगरपालिका,,उपप्रमुख,37,,6
21998,4,1,मनु राई,महिला,28,"संघीय समाजवादी फोरम, नेपाल ",खोटाङ्ग,हलेसी तुवाचुङ नगरपालिका,,उपप्रमुख,285,,4
21999,3,1,सुमित्रा घिमिरे,महिला,49,राष्ट्रिय प्रजातन्त्र पार्टी ,खोटाङ्ग,हलेसी तुवाचुङ नगरपालिका,,उपप्रमुख,80,,5
22000,2,1,कल्पना राई,महिला,27,नेकपा (माओवादी केन्द्र),खोटाङ्ग,हलेसी तुवाचुङ नगरपालिका,,उपप्रमुख,1632,,3
