SerialNo,Name,Symbol,Vote
1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),सूर्य,3173494
2,नेपाली काँग्रेस,रुख,3128389
3,एकल चिन्ह गोलाकारभित्रको हसिया हथौडा लिएका,गोलाकारभित्र हसिया हथौडा,1303721
4,राष्ट्रिय जनता पार्टी नेपाल,छाता,472254
5,"संघीय समाजवादी फोरम, नेपाल",हातले समातेको मशाल,470201
6,विवेकशील साझा पार्टी,तराजु,212364
7,राष्ट्रिय प्रजातन्त्र पार्टी,गाई,196782
8,राष्ट्रिय प्रजातन्त्र पार्टी (प्रजातान्त्रिक),गोलाकारभित्र हलो,88377
9,"नयाँ शक्ति पार्टी, नेपाल", देब्रे आँखा,81837
10,राष्ट्रिय जनमोर्चा,गिलास,62133
11,नेपाल मजदुर किसान पार्टी,मादल,56141
12,एकल चिन्ह हसिया तारा लिएका,हँसिया तारा,41270
13,नेपाल संघीय समाजवादी पार्टी,बस,36015
14,राष्ट्रिय जनमुक्ति पार्टी,घर,33091
15,एकीकृत राष्ट्रिय प्रजातन्त्र पार्टी(राष्ट्रवादी),आयाताकारभित्रको हलो,28828
16,नेपाली जनता दल,गोरु गाडाको चक्का (पाङ्ग्रो),22089
17,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,21610
18,बहुजन शक्ति पार्टी,जग,15466
19,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,15124
20,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च(थरुहट),गाग्री,14486
21,"देशभक्त जनगणतान्त्रिक मोर्चा, नेपाल",मुठ्ठी,13944
22,नेपाल जनता पार्टी,कमलको फूल,9312
23,जनशक्ति नेपाल,गोलाकारभित्र छाता,7979
24,आमूल परिवर्तन मसिहा पार्टी नेपाल,हृदय,5161
25,राष्ट्रिय मुक्ति आन्दोलन नेपाल,षटकोण,4275
26,नेपाः राष्ट्रिय पार्टी,खड्ग,3460
27,नेपाल लोकतान्त्रिक जनता काँगे्रस,दुई आँखा,2389
28,चुरेभावर लोकतान्त्रिक पार्टी,भकुण्डो,2170
29,ग्रीन पार्टी नेपाल,ऊँट,1685
30,नेपाल समावेशी पार्टी,सुगा,1676
31,नेपाल युवा किसान पार्टी,केराको काईंयो,1608
32,नेपाली कांगे्रस (बी.पी.),करुवा,1547
33,तामाङसालिङ लोकतान्त्रिक पार्टी ,बज्र,1456
34,नेपालवाद,तारापूञ्ज,1420
35,नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी),कोदालो,1397
36,नेपाल सुकुम्बासी पार्टी (लोकतान्त्रिक),डोको,1334
37,"राष्ट्रिय समाजवादी पार्टी, नेपाल",पृथ्वी,1053
38,"राष्ट्रिय यथार्थवादी पार्टी, नेपाल",डाँफे,1052
39,नेपाल दर्शन,भुईंकटहर,977
40,नेपाल नौलो जनवादी पार्टी,चुच्चोले चिठ्ठी बोकेर उड्न लागेको परेवा,976
41,एकल चिन्ह सिपाही लिएका,सिपाही,946
42,युवा नेपाल पार्टी,मोटर साईकल,872
43,नेपाल दलित पार्टी,इनार,834
44,"जनप्रजातान्त्रिक पार्टी, नेपाल",गैंडा,744
45,देशभक्त लोकतान्त्रिक पार्टी,ऐना,740
46,संघीय खम्बुवान लोकतान्त्रिक पार्टी नेपाल,हवाईजहाज,721
47,लिवरल डेमोक्रेटीक पार्टी,दमाहा,519
48,देशभक्त समाज,जरायो,434
49,हाम्रो पार्टी,धारा,426
