SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
41213,0,5,लोकराज के.सी.,पुरुष,62,नेपाली काँग्रेस,दाङ,राजपुर गाउँपालिका,,अध्यक्ष,2395,E,1
41214,2,5,श्याम बहादुर झाकृ,पुरुष,51,नेकपा (माओवादी केन्द्र),दाङ,राजपुर गाउँपालिका,,अध्यक्ष,1858,,2
41215,3,5,राम सुरत अहिर,पुरुष,72,राष्ट्रिय प्रजातन्त्र पार्टी ,दाङ,राजपुर गाउँपालिका,,अध्यक्ष,100,,6
41216,5,5,विन्तीराम यादव,पुरुष,67,"मधेशी जनअधिकार फोरम, नेपाल (लोकतान्त्रिक)",दाङ,राजपुर गाउँपालिका,,अध्यक्ष,805,,4
41217,9,5,राज कुमार विश्‍वकर्मा,पुरुष,36,राष्ट्रिय जनमोर्चा ,दाङ,राजपुर गाउँपालिका,,अध्यक्ष,138,,5
41218,1,5,कुलराज गिरी,पुरुष,34,नेकपा (एमाले),दाङ,राजपुर गाउँपालिका,,अध्यक्ष,1781,,3
