SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
21448,1,1,विणा देवी राई,महिला,35,नेकपा (एमाले),खोटाङ्ग,रुपाकोट मजुवागढी नगरपालिका,,उपप्रमुख,5367,E,1
21449,2,1,होमकाजी आचार्य,पुरुष,38,नेकपा (माओवादी केन्द्र),खोटाङ्ग,रुपाकोट मजुवागढी नगरपालिका,,उपप्रमुख,4627,,2
21450,0,1,कान्ती के.सी (बस्नेत),महिला,38,नेपाली काँग्रेस,खोटाङ्ग,रुपाकोट मजुवागढी नगरपालिका,,उपप्रमुख,4168,,3
21451,67,1,वशन्ती राई,महिला,29,"नयाँ शक्ति पार्टी, नेपाल",खोटाङ्ग,रुपाकोट मजुवागढी नगरपालिका,,उपप्रमुख,934,,4
