SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
55866,0,7,मीना चन्द,महिला,48,नेपाली काँग्रेस,बैतडी,दशरथचन्द नगरपालिका,,उपप्रमुख,3731,E,1
55867,1,7,सरस्वति नेपाली,महिला,36,नेकपा (एमाले),बैतडी,दशरथचन्द नगरपालिका,,उपप्रमुख,2997,,2
55868,84,7,शुष्मा देवि गहतराज,महिला,43,स्वतन्त्र,बैतडी,दशरथचन्द नगरपालिका,,उपप्रमुख,24,,5
55869,2,7,कमला देवी कार्की,महिला,42,नेकपा (माओवादी केन्द्र),बैतडी,दशरथचन्द नगरपालिका,,उपप्रमुख,1086,,4
55870,3,7,अम्बीका देवि भण्डारी,महिला,50,राष्ट्रिय प्रजातन्त्र पार्टी ,बैतडी,दशरथचन्द नगरपालिका,,उपप्रमुख,2484,,3
