SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
40788,0,5,पिमा कुमारी वली,महिला,46,नेपाली काँग्रेस,दाङ,दंगीशरण गाउँपालिका,,उपाध्यक्ष,2967,E,1
40789,1,5,सीमा न्यौपाने,महिला,45,नेकपा (एमाले),दाङ,दंगीशरण गाउँपालिका,,उपाध्यक्ष,2951,,2
40790,21,5,कमला वि.क.,महिला,39,जनजागरण पार्टी नेपाल,दाङ,दंगीशरण गाउँपालिका,,उपाध्यक्ष,3,,5
40791,5,5,सुनीता चौधरी,महिला,26,"मधेशी जनअधिकार फोरम, नेपाल (लोकतान्त्रिक)",दाङ,दंगीशरण गाउँपालिका,,उपाध्यक्ष,24,,4
40792,2,5,सिता कुमारी बस्नेत,महिला,39,नेकपा (माओवादी केन्द्र),दाङ,दंगीशरण गाउँपालिका,,उपाध्यक्ष,2378,,3
