SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
57042,1,7,भृकुटी देवी चन्द,महिला,47,नेकपा (एमाले),बैतडी,सिगास गाउँपालिका,,उपाध्यक्ष,1455,,2
57043,0,7,द्रोपती चन्द,महिला,27,नेपाली काँग्रेस,बैतडी,सिगास गाउँपालिका,,उपाध्यक्ष,1855,E,1
57044,2,7,लक्ष्मी पोखरेल /वि क,महिला,30,नेकपा (माओवादी केन्द्र),बैतडी,सिगास गाउँपालिका,,उपाध्यक्ष,1283,,3
57045,84,7,भुवन सिंह धामी,पुरुष,26,स्वतन्त्र,बैतडी,सिगास गाउँपालिका,,उपाध्यक्ष,215,,6
57046,84,7,मान सिंह धामी,पुरुष,34,स्वतन्त्र,बैतडी,सिगास गाउँपालिका,,उपाध्यक्ष,289,,5
57047,3,7,राजमति कुमारी साउद(धामी),महिला,25,राष्ट्रिय प्रजातन्त्र पार्टी ,बैतडी,सिगास गाउँपालिका,,उपाध्यक्ष,1043,,4
