SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
23717,0,4,कल्पना नेपाली,महिला,36,नेपाली काँग्रेस,गोरखा,आरूघाट गाउँपालिका,,उपाध्यक्ष,3609,E,1
23718,1,4,मिना बरामु,महिला,35,नेकपा (एमाले),गोरखा,आरूघाट गाउँपालिका,,उपाध्यक्ष,3037,,2
23719,67,4,मन कुमारी गुरुङ,महिला,28,"नयाँ शक्ति पार्टी, नेपाल",गोरखा,आरूघाट गाउँपालिका,,उपाध्यक्ष,611,,4
23720,2,4,अमृता लामा,महिला,35,नेकपा (माओवादी केन्द्र),गोरखा,आरूघाट गाउँपालिका,,उपाध्यक्ष,1762,,3
