SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
9329,0,1,बिनीता ढकाल,महिला,39,नेपाली काँग्रेस,भोजपुर,अरुण गाउँपालिका,,उपाध्यक्ष,2758,E,1
9330,3,1,शुश्मा राई,महिला,34,राष्ट्रिय प्रजातन्त्र पार्टी ,भोजपुर,अरुण गाउँपालिका,,उपाध्यक्ष,145,,4
9331,2,1,बिना राई,महिला,32,नेकपा (माओवादी केन्द्र),भोजपुर,अरुण गाउँपालिका,,उपाध्यक्ष,1470,,3
9332,1,1,कविता राई,महिला,37,नेकपा (एमाले),भोजपुर,अरुण गाउँपालिका,,उपाध्यक्ष,2137,,2
