SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
56249,0,7,दिनेश वहादुर चन्द,पुरुष,48,नेपाली काँग्रेस,बैतडी,पन्चेश्वर गाउँपालिका,,अध्यक्ष,1728,,2
56250,1,7,गोरख बहादुर चन्द,पुरुष,49,नेकपा (एमाले),बैतडी,पन्चेश्वर गाउँपालिका,,अध्यक्ष,2608,E,1
56251,2,7,रमेश बहादुर चन्द,पुरुष,33,नेकपा (माओवादी केन्द्र),बैतडी,पन्चेश्वर गाउँपालिका,,अध्यक्ष,1245,,3
56252,3,7,विरेन्द्र बहादुर चन्द,पुरुष,24,राष्ट्रिय प्रजातन्त्र पार्टी ,बैतडी,पन्चेश्वर गाउँपालिका,,अध्यक्ष,212,,4
