SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
54675,1,7,उर्मिला बोहरा,महिला,44,नेकपा (एमाले),दार्चुला,अपिहिमाल गाउँपालिका,,उपाध्यक्ष,1336,E,1
54676,3,7,लाल सिंह धामी,पुरुष,53,राष्ट्रिय प्रजातन्त्र पार्टी ,दार्चुला,अपिहिमाल गाउँपालिका,,उपाध्यक्ष,30,,4
54677,2,7,दिलमाया लोथ्याल,महिला,29,नेकपा (माओवादी केन्द्र),दार्चुला,अपिहिमाल गाउँपालिका,,उपाध्यक्ष,800,,3
54678,0,7,श्रीमती देवकी देवी बोहरा,महिला,38,नेपाली काँग्रेस,दार्चुला,अपिहिमाल गाउँपालिका,,उपाध्यक्ष,913,,2
