SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
7290,84,3,गंगा माया तमाङ,महिला,35,स्वतन्त्र,नुवाकोट,बेलकोटगढी नगरपालिका,,उपप्रमुख,86,,5
7291,1,3,रुपा सापकोटा,महिला,39,नेकपा (एमाले),नुवाकोट,बेलकोटगढी नगरपालिका,,उपप्रमुख,6460,,2
7292,2,3,कविता ढुङ्गाना,महिला,28,नेकपा (माओवादी केन्द्र),नुवाकोट,बेलकोटगढी नगरपालिका,,उपप्रमुख,6656,E,1
7293,67,3,कमला नेपाल,महिला,26,"नयाँ शक्ति पार्टी, नेपाल",नुवाकोट,बेलकोटगढी नगरपालिका,,उपप्रमुख,310,,4
7294,0,3,हिरा कुमारी तिवारी,महिला,53,नेपाली काँग्रेस,नुवाकोट,बेलकोटगढी नगरपालिका,,उपप्रमुख,4752,,3
