SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
22374,0,1,निर्मला देवी रैका,महिला,48,नेपाली काँग्रेस,ओखलढुंगा,चम्पादेवी  गाउँपालिका,,उपाध्यक्ष,3245,E,1
22375,3,1,पदम बहादुर कार्की,पुरुष,27,राष्ट्रिय प्रजातन्त्र पार्टी ,ओखलढुंगा,चम्पादेवी  गाउँपालिका,,उपाध्यक्ष,25,,4
22376,2,1,शोभा देवी वोगटी,महिला,35,नेकपा (माओवादी केन्द्र),ओखलढुंगा,चम्पादेवी  गाउँपालिका,,उपाध्यक्ष,1717,,3
22377,1,1,कल्पना  थापा ,महिला,31,नेकपा (एमाले),ओखलढुंगा,चम्पादेवी  गाउँपालिका,,उपाध्यक्ष,3011,,2
