SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
39737,12,6,सिंह बहादुर विष्ट,पुरुष,58,नेपाल मजदुर किसान पार्टी ,जुम्ला,पातारासी गाउँपालिका,,अध्यक्ष,142,,4
39738,0,6,लछीमन बोहोरा,पुरुष,46,नेपाली काँग्रेस,जुम्ला,पातारासी गाउँपालिका,,अध्यक्ष,2311,E,1
39739,2,6,गौरी बुढा,पुरुष,56,नेकपा (माओवादी केन्द्र),जुम्ला,पातारासी गाउँपालिका,,अध्यक्ष,1922,,2
39740,1,6,हंस बहादुर रोकाया,पुरुष,51,नेकपा (एमाले),जुम्ला,पातारासी गाउँपालिका,,अध्यक्ष,570,,3
