SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
16274,1,3,कल्पना कुमारी श्रेष्‍ठ,महिला,47,नेकपा (एमाले),काभ्रेपलाञ्चोक,भुम्लु गाउँपालिका,,उपाध्यक्ष,3536,E,1
16275,3,3,लिला देवी खड्का,महिला,46,राष्ट्रिय प्रजातन्त्र पार्टी ,काभ्रेपलाञ्चोक,भुम्लु गाउँपालिका,,उपाध्यक्ष,57,,4
16276,2,3,अनिता गुरुङ,महिला,27,नेकपा (माओवादी केन्द्र),काभ्रेपलाञ्चोक,भुम्लु गाउँपालिका,,उपाध्यक्ष,2314,,3
16277,0,3,शान्ता क्षेत्री थापा,महिला,34,नेपाली काँग्रेस,काभ्रेपलाञ्चोक,भुम्लु गाउँपालिका,,उपाध्यक्ष,2830,,2
