SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
22969,1,1,गोविन्द बहादुर पौडेल,पुरुष,61,नेकपा (एमाले),ओखलढुंगा,लिखु  गाउँपालिका,,अध्यक्ष,3010,E,1
22970,84,1,रामचन्द्र पौडेल,पुरुष,29,स्वतन्त्र,ओखलढुंगा,लिखु  गाउँपालिका,,अध्यक्ष,8,,4
22971,2,1,खड्ग योगी,पुरुष,47,नेकपा (माओवादी केन्द्र),ओखलढुंगा,लिखु  गाउँपालिका,,अध्यक्ष,1180,,3
22972,0,1,अशोक कुमार कार्की,पुरुष,56,नेपाली काँग्रेस,ओखलढुंगा,लिखु  गाउँपालिका,,अध्यक्ष,2935,,2
