SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
41082,1,5,सावित्री विश्वकर्मा,महिला,47,नेकपा (एमाले),दाङ,बबई गाउँपालिका,,उपाध्यक्ष,4410,E,1
41083,0,5,देव कुमारी के.सी,महिला,49,नेपाली काँग्रेस,दाङ,बबई गाउँपालिका,,उपाध्यक्ष,3935,,2
41084,9,5,टनी कामी,महिला,51,राष्ट्रिय जनमोर्चा ,दाङ,बबई गाउँपालिका,,उपाध्यक्ष,8,,5
41085,3,5,कलवती खत्री वली,महिला,48,राष्ट्रिय प्रजातन्त्र पार्टी ,दाङ,बबई गाउँपालिका,,उपाध्यक्ष,88,,4
41086,2,5,उर्मिला वली,महिला,43,नेकपा (माओवादी केन्द्र),दाङ,बबई गाउँपालिका,,उपाध्यक्ष,2368,,3
