SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
37255,2,6,कल्पना पुन,महिला,39,नेकपा (माओवादी केन्द्र),सल्यान,बागचौर नगरपालिका,,उपप्रमुख,5215,E,1
37256,8,6,यमुना वली,महिला,37,नेकपा (मार्क्सवादी–लेनिनवादी),सल्यान,बागचौर नगरपालिका,,उपप्रमुख,87,,4
37257,0,6,मेनका चन्द,महिला,55,नेपाली काँग्रेस,सल्यान,बागचौर नगरपालिका,,उपप्रमुख,3496,,3
37258,1,6,ओका देवी खत्री,महिला,49,नेकपा (एमाले),सल्यान,बागचौर नगरपालिका,,उपप्रमुख,3590,,2
