SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
37567,0,5,श्रीमति मिश्री कुमारी हमाल,महिला,56,नेपाली काँग्रेस,रोल्पा,रोल्पा नगरपालिका,,उपप्रमुख,3721,,2
37568,2,5,मन कुमारी घर्तीमगर,महिला,42,नेकपा (माओवादी केन्द्र),रोल्पा,रोल्पा नगरपालिका,,उपप्रमुख,5686,E,1
37569,1,5,नन्दकुमार आचार्य,पुरुष,69,नेकपा (एमाले),रोल्पा,रोल्पा नगरपालिका,,उपप्रमुख,620,,3
37570,3,5,हरिकला बुढाथोकी,महिला,47,राष्ट्रिय प्रजातन्त्र पार्टी ,रोल्पा,रोल्पा नगरपालिका,,उपप्रमुख,32,,4
