SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
5685,4,2,सिता कुमारी,महिला,37,"संघीय समाजवादी फोरम, नेपाल ",सिराहा,औरही गाउँपालिका,,उपाध्यक्ष,2632,E,1
5686,2,2,देवझरी देवी यादव,महिला,38,नेकपा (माओवादी केन्द्र),सिराहा,औरही गाउँपालिका,,उपाध्यक्ष,2459,,2
5687,1,2,आशा देवी यादव,महिला,58,नेकपा (एमाले),सिराहा,औरही गाउँपालिका,,उपाध्यक्ष,992,,4
5688,0,2,जीवछी कुमारी यादव,महिला,39,नेपाली काँग्रेस,सिराहा,औरही गाउँपालिका,,उपाध्यक्ष,2032,,3
