SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
38055,1,6,छोमु गुरुङ,महिला,44,नेकपा (एमाले),डोल्पा,डोल्पो बुद्ध गाउँपालिका,1,महिला सदस्य,0,E,1
38056,1,6,नेन्जेन भोटे,महिला,30,नेकपा (एमाले),डोल्पा,डोल्पो बुद्ध गाउँपालिका,2,महिला सदस्य,0,E,1
38057,1,6,पेम्मा तेचेन गुरुङ,महिला,29,नेकपा (एमाले),डोल्पा,डोल्पो बुद्ध गाउँपालिका,3,महिला सदस्य,0,E,1
38058,1,6,तेन्डेल गुरुङ,महिला,36,नेकपा (एमाले),डोल्पा,डोल्पो बुद्ध गाउँपालिका,4,महिला सदस्य,0,E,1
38059,1,6,सनम साङमु गुरुङ,महिला,42,नेकपा (एमाले),डोल्पा,डोल्पो बुद्ध गाउँपालिका,5,महिला सदस्य,0,E,1
38060,1,6,आङ्मो गुरुङ,महिला,39,नेकपा (एमाले),डोल्पा,डोल्पो बुद्ध गाउँपालिका,6,महिला सदस्य,0,E,1
