SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
28793,0,4,आसा थापा,महिला,41,नेपाली काँग्रेस,तनहुँ,भानु नगरपालिका,,उपप्रमुख,9414,E,1
28794,67,4,शर्मिला अधिकारी,महिला,42,"नयाँ शक्ति पार्टी, नेपाल",तनहुँ,भानु नगरपालिका,,उपप्रमुख,186,,4
28795,2,4,गीता शाही,महिला,37,नेकपा (माओवादी केन्द्र),तनहुँ,भानु नगरपालिका,,उपप्रमुख,1320,,3
28796,1,4,ऋषि राम पन्त,पुरुष,57,नेकपा (एमाले),तनहुँ,भानु नगरपालिका,,उपप्रमुख,8878,,2
