SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
49621,0,7,मीना देवी बोहरा (जागरी ),महिला,38,नेपाली काँग्रेस,बझाङ्ग,बुंगल नगरपालिका,,उपप्रमुख,5360,E,1
49622,3,7,बिक्रम सिंह आर (ओखेडा),पुरुष,25,राष्ट्रिय प्रजातन्त्र पार्टी ,बझाङ्ग,बुंगल नगरपालिका,,उपप्रमुख,236,,4
49623,2,7,शारदा देवी सिंह,महिला,31,नेकपा (माओवादी केन्द्र),बझाङ्ग,बुंगल नगरपालिका,,उपप्रमुख,1595,,3
49624,1,7,धन देवी कुवँर,महिला,40,नेकपा (एमाले),बझाङ्ग,बुंगल नगरपालिका,,उपप्रमुख,4589,,2
