SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
24975,2,1,मेजर कुमार राई,पुरुष,35,नेकपा (माओवादी केन्द्र),उदयपुर,सुनकोशी गाउँपालिका,,अध्यक्ष,1347,E,1
24976,1,1,भलराज राई,पुरुष,38,नेकपा (एमाले),उदयपुर,सुनकोशी गाउँपालिका,,अध्यक्ष,1281,,2
24977,0,1,पुष्प लाल राई,पुरुष,30,नेपाली काँग्रेस,उदयपुर,सुनकोशी गाउँपालिका,,अध्यक्ष,1273,,3
24978,67,1,लोक बहादुर खड्का,पुरुष,37,"नयाँ शक्ति पार्टी, नेपाल",उदयपुर,सुनकोशी गाउँपालिका,,अध्यक्ष,44,,4
