SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
54840,0,7,जगत सिंह ठगुन्ना,पुरुष,33,नेपाली काँग्रेस,दार्चुला,नौगाड गाउँपालिका,,अध्यक्ष,1816,,2
54841,1,7,प्रेम सिंह धामी,पुरुष,33,नेकपा (एमाले),दार्चुला,नौगाड गाउँपालिका,,अध्यक्ष,2289,E,1
54842,2,7,दलजीत सिंह धामी,पुरुष,44,नेकपा (माओवादी केन्द्र),दार्चुला,नौगाड गाउँपालिका,,अध्यक्ष,1533,,3
54843,3,7,खडक सिंह धामी,पुरुष,53,राष्ट्रिय प्रजातन्त्र पार्टी ,दार्चुला,नौगाड गाउँपालिका,,अध्यक्ष,14,,4
54844,10,7,ठिम्पु सिह डडाल,पुरुष,60,नेकपा (संयुक्त),दार्चुला,नौगाड गाउँपालिका,,अध्यक्ष,5,,5
54845,84,7,नन्दन सिंह धामी,पुरुष,37,स्वतन्त्र,दार्चुला,नौगाड गाउँपालिका,,अध्यक्ष,1,,6
